id,departure,arrival,date,time_departure,duration_minutes,cost,distance_km,airline
1,Москва,Санкт-Петербург,2026-07-01,06:30:00,46,8995,631,Аэрофлот
2,Санкт-Петербург,Москва,2026-07-01,18:55:00,46,13015,631,Аэрофлот
3,Москва,Санкт-Петербург,2026-07-01,06:40:00,47,8145,631,Red Wings
4,Санкт-Петербург,Москва,2026-07-01,12:00:00,47,12790,631,Аэрофлот
5,Москва,Санкт-Петербург,2026-07-01,07:50:00,46,9907,631,S7 Airlines
6,Санкт-Петербург,Москва,2026-07-01,09:20:00,46,13107,631,S7 Airlines
7,Москва,Санкт-Петербург,2026-07-01,08:10:00,46,10067,631,Победа
8,Санкт-Петербург,Москва,2026-07-01,13:40:00,46,10323,631,Победа
9,Москва,Санкт-Петербург,2026-07-01,08:20:00,47,12741,631,Аэрофлот
10,Санкт-Петербург,Москва,2026-07-01,14:05:00,47,11303,631,Аэрофлот
11,Москва,Санкт-Петербург,2026-07-01,08:55:00,48,10775,631,Победа
12,Санкт-Петербург,Москва,2026-07-01,06:55:00,48,9453,631,S7 Airlines
13,Москва,Санкт-Петербург,2026-07-01,10:45:00,49,14136,631,Аэрофлот
14,Санкт-Петербург,Москва,2026-07-01,14:10:00,49,9628,631,Победа
15,Москва,Санкт-Петербург,2026-07-01,11:10:00,46,10619,631,Победа
16,Санкт-Петербург,Москва,2026-07-01,20:20:00,46,10962,631,Победа
17,Москва,Санкт-Петербург,2026-07-01,11:50:00,45,13102,631,Аэрофлот
18,Санкт-Петербург,Москва,2026-07-01,21:35:00,45,9696,631,S7 Airlines
19,Москва,Санкт-Петербург,2026-07-01,15:00:00,49,9379,631,Уральские авиалинии
20,Санкт-Петербург,Москва,2026-07-01,20:45:00,49,10241,631,Red Wings
21,Москва,Санкт-Петербург,2026-07-01,17:35:00,48,10664,631,Победа
22,Санкт-Петербург,Москва,2026-07-01,10:50:00,48,14041,631,Аэрофлот
23,Москва,Санкт-Петербург,2026-07-01,18:35:00,46,10782,631,Уральские авиалинии
24,Санкт-Петербург,Москва,2026-07-01,18:05:00,46,10697,631,Победа
25,Москва,Санкт-Петербург,2026-07-01,20:25:00,49,11058,631,Россия
26,Санкт-Петербург,Москва,2026-07-01,15:45:00,49,10359,631,S7 Airlines
27,Москва,Санкт-Петербург,2026-07-01,21:40:00,47,10525,631,S7 Airlines
28,Санкт-Петербург,Москва,2026-07-01,22:00:00,47,8696,631,Уральские авиалинии
29,Москва,Санкт-Петербург,2026-07-01,21:45:00,49,9028,631,Уральские авиалинии
30,Санкт-Петербург,Москва,2026-07-01,08:55:00,49,10651,631,Red Wings
31,Москва,Казань,2026-07-01,08:20:00,53,12293,718,Уральские авиалинии
32,Казань,Москва,2026-07-01,18:45:00,53,13402,718,Россия
33,Москва,Казань,2026-07-01,09:15:00,51,13320,718,Red Wings
34,Казань,Москва,2026-07-01,21:25:00,51,12437,718,Аэрофлот
35,Москва,Казань,2026-07-01,09:20:00,55,13126,718,Red Wings
36,Казань,Москва,2026-07-01,13:20:00,55,13018,718,Аэрофлот
37,Москва,Казань,2026-07-01,19:20:00,56,14529,718,S7 Airlines
38,Казань,Москва,2026-07-01,21:25:00,56,11167,718,Победа
39,Москва,Казань,2026-07-01,20:30:00,51,13420,718,S7 Airlines
